Village A,Village B,Village C,Village D,Village E
0.25061,0.25061,0.25061,0.25061,0.25061
0.38231,0.38231,0.38231,0.38231,0.38231
0.30207,0.30207,0.30207,0.30207,0.30207
0.27592,0.27592,0.27592,0.27592,0.27592
0.10094,0.10094,0.10094,0.10094,0.10094
0.01042,0.01042,0.01042,0.01042,0.01042
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.03367,0.03367,0.03367,0.03367,0.03367
0.17046,0.17046,0.17046,0.17046,0.17046
0.31684,0.31684,0.31684,0.31684,0.31684
0.4896,0.4896,0.4896,0.4896,0.4896
0.60051,0.60051,0.60051,0.60051,0.60051
0.6137,0.6137,0.6137,0.6137,0.6137
0.68446,0.68446,0.68446,0.68446,0.68446
0.61703,0.61703,0.61703,0.61703,0.61703
0.49931,0.49931,0.49931,0.49931,0.49931
0.41481,0.41481,0.41481,0.41481,0.41481
0.2658,0.2658,0.2658,0.2658,0.2658
0.11044,0.11044,0.11044,0.11044,0.11044
0.01151,0.01151,0.01151,0.01151,0.01151
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.02571,0.02571,0.02571,0.02571,0.02571
0.19069,0.19069,0.19069,0.19069,0.19069
0.33058,0.33058,0.33058,0.33058,0.33058
0.48518,0.48518,0.48518,0.48518,0.48518
0.67666,0.67666,0.67666,0.67666,0.67666
0.74264,0.74264,0.74264,0.74264,0.74264
0.7571,0.7571,0.7571,0.7571,0.7571
0.7213,0.7213,0.7213,0.7213,0.7213
0.63566,0.63566,0.63566,0.63566,0.63566
0.49999,0.49999,0.49999,0.49999,0.49999
0.09105,0.09105,0.09105,0.09105,0.09105
0.11353,0.11353,0.11353,0.11353,0.11353
0.01009,0.01009,0.01009,0.01009,0.01009
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.03048,0.03048,0.03048,0.03048,0.03048
0.16759,0.16759,0.16759,0.16759,0.16759
0.36383,0.36383,0.36383,0.36383,0.36383
0.51548,0.51548,0.51548,0.51548,0.51548
0.5312,0.5312,0.5312,0.5312,0.5312
0.51958,0.51958,0.51958,0.51958,0.51958
0.64012,0.64012,0.64012,0.64012,0.64012
0.60731,0.60731,0.60731,0.60731,0.60731
0.42834,0.42834,0.42834,0.42834,0.42834
0.18841,0.18841,0.18841,0.18841,0.18841
0.12051,0.12051,0.12051,0.12051,0.12051
0.0535,0.0535,0.0535,0.0535,0.0535
0.00048,0.00048,0.00048,0.00048,0.00048
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.03005,0.03005,0.03005,0.03005,0.03005
0.1871,0.1871,0.1871,0.1871,0.1871
0.38896,0.38896,0.38896,0.38896,0.38896
0.50116,0.50116,0.50116,0.50116,0.50116
0.66251,0.66251,0.66251,0.66251,0.66251
0.74227,0.74227,0.74227,0.74227,0.74227
0.72544,0.72544,0.72544,0.72544,0.72544
0.64601,0.64601,0.64601,0.64601,0.64601
0.57064,0.57064,0.57064,0.57064,0.57064
0.50103,0.50103,0.50103,0.50103,0.50103
0.04479,0.04479,0.04479,0.04479,0.04479
0.01722,0.01722,0.01722,0.01722,0.01722
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.03005,0.03005,0.03005,0.03005,0.03005
0.18678,0.18678,0.18678,0.18678,0.18678
0.38952,0.38952,0.38952,0.38952,0.38952
0.47428,0.47428,0.47428,0.47428,0.47428
0.60459,0.60459,0.60459,0.60459,0.60459
0.74988,0.74988,0.74988,0.74988,0.74988
0.44263,0.44263,0.44263,0.44263,0.44263
0.74846,0.74846,0.74846,0.74846,0.74846
0.65602,0.65602,0.65602,0.65602,0.65602
0.32388,0.32388,0.32388,0.32388,0.32388
0.20004,0.20004,0.20004,0.20004,0.20004
0.11758,0.11758,0.11758,0.11758,0.11758
0.00931,0.00931,0.00931,0.00931,0.00931
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.02957,0.02957,0.02957,0.02957,0.02957
